target_id,run_id,step,layer,family,target_metric,target_value,alpha_min,alpha_max,bracketed,root_alpha,iterations
r2_s14000_l1,2,14000,1,block,kl,0.5876143508487278,0.076260831794125,1.220173308706,True,0.4591157491736263,10
r2_s14000_l1,2,14000,1,block,nll_damage,0.6313015884823269,0.076260831794125,1.220173308706,True,0.4653735358374296,8
r2_s14000_l1,2,14000,1,noise,kl,0.5876143508487278,0.076260831794125,1.220173308706,True,0.6234458125152603,7
r2_s14000_l1,2,14000,1,noise,nll_damage,0.6313015884823269,0.076260831794125,1.220173308706,True,0.5986324239020514,10
r2_s14000_l2,2,14000,2,block,kl,0.6941122081544665,0.083472173830875,1.335554781294,True,0.47347015800199294,10
r2_s14000_l2,2,14000,2,block,nll_damage,0.7525731987423366,0.083472173830875,1.335554781294,True,0.4690044537865545,11
r2_s14000_l2,2,14000,2,noise,kl,0.6941122081544665,0.083472173830875,1.335554781294,True,0.6623751265982905,10
r2_s14000_l2,2,14000,2,noise,nll_damage,0.7525731987423366,0.083472173830875,1.335554781294,True,0.6411995877832858,10
r2_s14000_l3,2,14000,3,block,kl,0.7652236223220825,0.071161692972875,1.138587087566,True,0.5206329024206788,10
r2_s14000_l3,2,14000,3,block,nll_damage,0.7743501398298474,0.071161692972875,1.138587087566,True,0.49721169772694657,9
r2_s14000_l3,2,14000,3,noise,kl,0.7652236223220825,0.071161692972875,1.138587087566,True,0.5912876885994671,9
r2_s14000_l3,2,14000,3,noise,nll_damage,0.7743501398298474,0.071161692972875,1.138587087566,True,0.5525879064068211,10
r2_s14000_l4,2,14000,4,block,kl,0.262666051586469,0.04590719796825,0.734515167492,True,0.25138826100203376,8
r2_s14000_l4,2,14000,4,block,nll_damage,0.2992361386617024,0.04590719796825,0.734515167492,True,0.2555055771056419,9
r2_s14000_l4,2,14000,4,noise,kl,0.262666051586469,0.04590719796825,0.734515167492,True,0.3773373167029728,9
r2_s14000_l4,2,14000,4,noise,nll_damage,0.2992361386617024,0.04590719796825,0.734515167492,True,0.3972572453352142,10
r2_s14000_l6,2,14000,6,block,kl,0.1849737829632229,0.040928020317375,0.654848325078,True,0.2867422592753565,10
